dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
Q8BWF0_Succinate-semialdehyde d.	56236327.9999982	54346244	61064432.0000006	60896592.0000006	60411979.9999998	65719860.0000001	58229984.0000017	53701148.0000017	62067059.9999997	54603147.9999999	55845475.9999983	61710568.0000011	56336159.9999991	58381176.0000018	58268296.0000014	58517043.9999987	58519016.0000008	62153176.0000013	57086555.9999991	47934884.0000001	58474088.0000019	59263227.9999988	63086416.0000008	63720052.0000016	62856199.9999994	59138183.9999991	61168027.999998	61693540.0000012
O08709_Peroxiredoxin-6	798939071.999991	827230847.99999	758207679.999984	852456447.999979	755201536.000017	778714047.999977	688500223.999994	791895872.000013	833700672.000015	825758015.999988	814894591.999972	813769536.000006	714936703.999989	869262143.999993	805262591.999977	777937791.999993	750810943.999987	788628287.999998	885884543.999983	806497215.999992	788857152.000011	770411456.000017	758827712.000003	815605247.999975	821132480.000017	741511296.000025	668653375.999999	801976960.000013
P02088_Hemoglobin subunit beta-1	3220360960.00004	2937550592.00008	4185981183.99993	4604356607.99995	3913400575.99992	4429351423.99985	3839492864.00011	1975645824.00004	3740943871.99992	3511436800.00005	3448769279.99999	4356084223.99996	3463979520.00003	3249175552.00003	4110494463.99999	3961939199.99992	3359468800.00006	3197243647.99997	3401801215.99992	3738711295.99995	3861546496.00004	3927384831.99996	3340162304.00009	2757219584.00006	2933931775.99992	4891493376.00003	2551630591.99995	3786637055.99994
Q8QZS1_3-hydroxyisobutyryl-CoA .	89015247.9999976	86485327.9999972	77009431.9999976	93511471.9999988	83454415.9999991	95238503.9999982	76497135.9999982	91767224.0000011	90985576.0000032	94897128.0000022	84998488.0000013	82771832.0000022	83761120.0000029	101174431.999998	93124935.9999993	97799248.0000032	82019023.9999978	96345711.9999993	96539711.9999992	82553031.9999995	85370327.9999975	88085471.999997	86305423.9999987	91718687.9999996	89642272.0000025	101890703.999998	97938872.0000006	89649712.0000012
Q8BWQ1_UDP-glucuronosyltransfer.	237744479.999994	226646351.999998	207818576.000001	230090815.999998	203756832.000001	210536831.999999	230702320.000006	230068864.000006	194116768.000002	205364272.000005	237226176.000004	193122319.999996	222419103.999995	248321919.999997	251014112	217672256.000007	239531408.000001	198854080	219283631.999998	196532480.000005	218092528.000006	231498463.999994	209898240.000004	202807471.999996	215632367.999995	237196512.000001	261715344.000006	192172031.999997
Q9CW42_Mitochondrial amidoxime-.	59779348.0000003	58949287.9999983	60006496.0000001	69509343.9999999	67714783.9999988	62418575.9999986	61799915.9999984	63176831.999998	61893996.0000022	72821040.0000012	62186932.0000007	55045419.9999988	75955463.9999983	62661820.0000005	61041175.9999998	57398887.9999997	68595911.9999978	54590683.9999982	59198540.0000014	58041880.0000015	57882724.0000005	58022988.0000001	66209880.000002	65596440.0000007	70644223.9999993	57209956	59498228.0000013	68993311.9999983
Q8BJ64_Choline dehydrogenase, m.	101324167.999999	99198992.0000035	123880535.999999	137778560	134390719.999995	128878536.000002	105949736.000003	110477888.000003	128994295.999997	116780880	112286471.999998	124075831.999998	131056480.000001	110599640.000004	130581399.999998	118355303.999998	117565247.999999	124362656.000001	113587856.000002	90054831.9999978	113190184.000003	119546448	124305336	134840752.000001	135947519.999997	109946183.999998	115422672.000003	123516768.000003
P40124_Adenylyl cyclase-associa.	31068768.0000001	33816552.0000005	27805466.0000007	26482880.0000005	28454006.0000003	26115248.0000004	33782368.0000005	30736264.0000002	25444755.9999994	26143662.0000004	28776644.0000007	25066759.9999992	34577923.9999997	31150737.9999998	26918991.9999993	27639680.0000001	35851299.9999988	27519495.9999995	27122743.9999999	29944484	26783473.9999995	22970950.0000006	27698546.0000006	24647471.9999995	26622237.9999995	25009006.0000004	28798743.9999999	24623348.0000006
Q8BK48_Pyrethroid hydrolase Ces.	54073335.9999988	58337487.9999983	37649319.9999992	59243399.9999993	38660323.9999991	55397068.0000008	36055883.9999997	55048496.0000003	54256468.0000009	54965727.9999992	61520320.0000021	61687500.0000013	36497748.0000005	56050072.0000002	50545780.0000005	56078296.0000009	39520151.9999989	47188184.0000015	53343271.9999995	42617612.000001	55256924.0000016	56386824.0000004	52266075.9999986	57188164.0000013	65826987.9999988	51328088.0000012	47748968.0000005	55258799.9999987
Q8BG32_26S proteasome non-ATPas.	56843895.9999996	57356139.9999984	54357368.0000015	58219928.0000018	56241252.0000004	59444503.9999994	55311508.0000006	54407479.9999983	60686831.9999983	61888539.9999995	58115287.9999994	56549119.9999983	53905023.9999994	59414040.0000009	59715392.0000006	60816087.9999988	61059787.9999994	61730120.0000019	62029832.0000005	61364379.9999998	60767043.9999988	57181368.0000018	55321560.0000007	58177248.0000017	61418124.0000015	58910536.0000018	56449480.0000009	59047195.9999986
