dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
glycolic acid	1881035.45775043	2651019.03308822	2419497.07994722	3480332.30509974	3449619.6186143	2196736.43915111	2261233.93188554	2923917.80249482	3431927.98819976	1914552.13659749	2821611.99594027	2671544.03246266	2114286.25857978	2277589.77989332	2337616.34682583	3013140.62865818	2057593.88405386	2314471.70873497	2546573.25169869	2615037.39828804	3173680.21810856	2162502.97676535	1501570.91371667	1717170.41039783	2056231.93760803	2448632.15093487	2305951.98764943	3116355.26887723
tiglic acid	107372.032100438	159852.866939148	187937.134211395	1	172312.826493204	130440.85276157	212156.300074739	169464.370232856	143161.638568478	330101.271061348	185160.878674402	372430.912603952	252570.036783927	396215.639444048	153035.930156383	147189.003341781	1098985.9717696	426390.234259812	220943.664864814	287264.717242335	255502.257085866	159167.475631939	255378.372238567	454671.379233529	120728.234140237	150063.131149105	239617.191960917	238734.958911512
creatinine	378047.08964368	484622.3819889	645958.422901866	330851.210481399	435739.77320356	377334.874684808	514158.570382132	649752.792688171	586921.312442697	400667.476761583	297281.486415643	389274.277490718	412221.726869216	480892.368329213	339406.025289411	784159.209563522	451520.036877977	526625.297733265	422571.496399888	617793.517162924	1196512.05698971	397639.723753138	241374.705970231	335071.693615138	226247.654059728	416613.396731848	372176.968997471	372855.199149787
2-oxopentanoic acid	505353.599155372	473469.260788198	739449.706720128	991938.884773198	33757.9257385786	851550.34804631	603003.530635843	423141.415432742	647220.373690883	624585.0192141	493046.953852209	1259935.68220302	1714334.97053237	384667.293853759	404164.106346235	95949.5628606705	576491.97254633	475979.687577387	418472.235186784	531451.72950815	377869.448563424	611477.360158689	894949.338526029	702912.106420675	37866.1235431459	118079.44358314	379408.903122735	888019.859057058
N-acetylglycine	710478.960855584	1335963.94323241	1696422.17048437	1492468.06274018	2511445.62442509	2741063.60808978	403907.810357701	1702872.17298055	1498505.89121205	1540833.13118103	1293809.66690277	1709260.25770152	671391.009910141	1303378.80294485	924657.821536091	1087379.91045879	750979.547413527	921055.257422461	1281373.80352108	1567064.23228474	2422171.76544533	1169986.6762014	1367119.22381541	871784.429284545	1109692.16802689	1002232.93901639	836395.599442872	1608381.56877662
L-threonine	19396667.4002292	25482425.7984024	24341564.404505	12947526.3641738	26286676.2928926	20596337.6580853	22406412.6129068	39418876.3724184	31248799.4980141	22429390.6157929	29607232.3320373	22711941.7478406	23473742.4230152	36118614.7201456	33989510.8685647	45425662.6506342	26401988.0783147	39435238.1759447	41184117.7216788	36735048.7475148	52364520.2787379	37299238.6392792	44963603.1504371	34794310.0612875	33314236.4426266	38935733.8997848	43743332.8940453	40066825.8477771
nicotinic acid	3311.74854474528	380481.410706512	29959.0706808552	297841.536538539	219925.498786106	214007.063225697	478383.774196664	1317.65882278933	396907.282530389	576960.861264991	404463.237440686	33671.9912637651	465695.252444046	783501.966379403	444130.433921878	528327.953394211	556514.04726324	758206.868885263	741977.948078295	951.778322442349	723727.336553486	379627.8526783	613925.62938864	1906.10926999206	488593.557458153	298908.070980616	464488.258794963	442900.99799952
taurine	336005781.953352	141593379.011537	484466911.015724	593090382.987128	433460948.808044	356267342.220718	415153631.376983	496345675.965604	403645269.209852	325748786.169841	361395376.102789	350416352.915411	318755498.274662	294557287.835225	308208056.72182	271968739.847534	460175660.719441	231448359.191975	274717159.98755	429485795.268048	152041966.936576	294083306.420685	260109610.207966	358115682.32707	110604213.318401	320145603.410803	363677295.968317	387254279.99294
imidazol-4-ylacetic acid	54222.3127572035	84148.0467366034	113341.005548135	39448.2033140541	51903.3496354128	48924.8269080046	15961.9672356067	101885.857029786	57544.2871891858	92581.9085517249	35311.3302947247	77865.0003453476	19995.3472892862	50303.9055707457	39257.227054488	147553.263469216	67744.3602157283	40731.5814872088	21844.8406575403	23759.7550755926	89464.7338027172	22324.3907057861	12919.1741601613	23333.7929605189	14270.3803513991	44996.6561233444	23547.469008942	45547.4849256069
(E)-glutaconic acid	740305.086886498	2616127.26412833	874153.873513717	883384.535932099	1248231.96821398	783412.617781807	643677.161734674	907115.294114203	969354.070049991	1221315.9338366	932453.058489237	876181.400894517	712794.50966314	767641.424637744	828874.128605878	886897.833231958	1150103.57035734	1566244.12736341	736443.68630658	1498443.13707194	896906.132711125	832145.415337675	1219727.22901178	995685.018891256	720385.33935503	752644.828287003	840048.643385596	747473.950006865
